Video,Resolution,QP,PSNR,BPP
Twilight,960x540,17,42.32411582086482,0.10913155864197532
Twilight,960x540,22,40.35960007842739,0.04625817901234568
Twilight,960x540,27,38.2146360607297,0.018588760288065845
Twilight,960x540,32,36.027295472719466,0.007647762345679012
Twilight,960x540,37,33.917366957563836,0.003773045267489712
Twilight,960x540,42,31.47445135032423,0.0021694958847736623
Twilight,1920x1080,17,42.27010559073104,0.1021734375
Twilight,1920x1080,22,40.881739021328826,0.033113110853909465
Twilight,1920x1080,27,39.17585253760922,0.012114615483539095
Twilight,1920x1080,32,37.24826966463439,0.004795068158436214
Twilight,1920x1080,37,35.21185101680362,0.0023183834876543213
Twilight,1920x1080,42,32.83760367448017,0.001292798353909465
